--- Initial condition ---
0.00132685
0.00183945
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.3 ---
7.22757e-08
2.63714e-07
6.13525e-07
1.18196e-06
2.07392e-06
3.46189e-06
5.61503e-06
8.94039e-06
1.4042e-05
2.18036e-05
3.35032e-05
5.09667e-05
7.67732e-05
0.000114522
0.000169179
0.000247504
0.000358595
0.000514537
0.000731175
0.00102901
0.00143423
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.4 ---
3.61379e-08
1.49926e-07
3.81726e-07
7.81844e-07
1.42788e-06
2.44489e-06
4.02996e-06
6.48517e-06
1.02636e-05
1.60336e-05
2.47684e-05
3.78675e-05
5.73203e-05
8.59214e-05
0.00012755
0.000187527
0.000273061
0.000393799
0.000562487
0.00079575
0.00111499
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.5 ---
1.80689e-08
8.39974e-08
2.32862e-07
5.07353e-07
9.67618e-07
1.70625e-06
2.86811e-06
4.67664e-06
7.47011e-06
1.17519e-05
1.82601e-05
2.80638e-05
4.26921e-05
6.43067e-05
9.59283e-05
0.000141728
0.000207394
0.000300597
0.000431542
0.000613646
0.000864319
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.6 ---
9.03447e-09
4.6516e-08
1.39689e-07
3.23521e-07
6.4557e-07
1.17591e-06
2.02201e-06
3.34932e-06
5.40972e-06
8.58079e-06
1.34205e-05
2.07421e-05
3.17171e-05
4.80119e-05
7.19701e-05
0.000106849
0.000157122
0.000228859
0.0003302
0.000471923
0.000668121
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.7 ---
4.51723e-09
2.55166e-08
8.26027e-08
2.03062e-07
4.24316e-07
8.00114e-07
1.41106e-06
2.38019e-06
3.89495e-06
6.23787e-06
9.82916e-06
1.52857e-05
2.35014e-05
3.57567e-05
5.38634e-05
8.03561e-05
0.000118739
0.000173799
0.000252
0.000361961
0.000515041
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.8 ---
2.25862e-09
1.38876e-08
4.82451e-08
1.25653e-07
2.74985e-07
5.37549e-07
9.74305e-07
1.67725e-06
2.7861e-06
4.51199e-06
7.17057e-06
1.12281e-05
1.73647e-05
2.65607e-05
4.0212e-05
6.02841e-05
8.95115e-05
0.000131655
0.000191827
0.000276894
0.000395968
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.9 ---
1.12931e-09
7.50846e-09
2.78768e-08
7.67651e-08
1.75875e-07
3.56712e-07
6.65509e-07
1.17138e-06
1.97874e-06
3.24536e-06
5.20797e-06
8.21804e-06
1.27914e-05
1.9676e-05
2.9944e-05
4.51141e-05
6.73128e-05
9.9484e-05
0.000145656
0.000211275
0.000303621
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1 ---
5.64654e-10
4.03656e-09
1.59567e-08
4.63609e-08
1.11118e-07
2.33915e-07
4.49712e-07
8.10545e-07
1.39464e-06
2.32e-06
3.76399e-06
5.99101e-06
9.3912e-06
1.45336e-05
2.22388e-05
3.36765e-05
5.04946e-05
7.49893e-05
0.000110322
0.000160799
0.00023221
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.1 ---
2.82327e-10
2.15944e-09
9.05806e-09
2.77095e-08
6.94137e-08
1.51664e-07
3.00688e-07
5.55617e-07
9.7513e-07
1.64757e-06
2.70578e-06
4.34839e-06
6.8698e-06
1.07017e-05
1.64703e-05
2.50734e-05
3.7784e-05
5.63866e-05
8.33546e-05
0.000122077
0.000177143
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.2 ---
1.41164e-10
1.1503e-09
5.10418e-09
1.64068e-08
4.29102e-08
9.72873e-08
1.98988e-07
3.77302e-07
6.76216e-07
1.16189e-06
1.93383e-06
3.14111e-06
5.00546e-06
7.85359e-06
1.21619e-05
1.86176e-05
2.82008e-05
4.22937e-05
6.28241e-05
9.24504e-05
0.000134797
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.3 ---
7.05818e-11
6.10442e-10
2.85731e-09
9.63207e-09
2.62712e-08
6.17792e-08
1.30383e-07
2.53843e-07
4.65029e-07
8.1346e-07
1.37365e-06
2.25738e-06
3.63142e-06
5.7425e-06
8.95222e-06
1.37849e-05
2.09929e-05
3.16433e-05
4.72337e-05
6.98421e-05
0.000102319
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.4 ---
3.52909e-11
3.22867e-10
1.59009e-09
